core_id,depth_cm,age_ad,C_percent,C/N,d13C_permille,d15N_permille,K_percent,Ti_percent
BEN15-2,0,2015.90277777778,14.7571763,12.1576545637784,-30.2475191283475,2.4619617,1.0026,0.1693
BEN15-2,0.5,2015.18844246108,14.6570121,12.1782893609681,-30.3104166181714,2.4476625,1.0857,0.1823
BEN15-2,1,2014.47410714438,14.9498318,11.9233798975136,-30.3579925246289,2.336219,0.9782,0.1678
BEN15-2,1.5,2012.94977934051,14.5455791590239,11.6789999181436,-30.3383472,2.5285724,0.9423,0.1664
BEN15-2,2,2011.42545153663,14.404084,11.6120014704365,-30.4326968,2.662515,1.07843333333333,0.183166666666667
BEN15-2,2.5,2009.60159208973,14.4033607,11.886028279506,-30.3242378420697,2.4807083,1.0863,0.183
BEN15-2,3,2007.77773264284,14.4177444,11.8776829062136,-30.288016196496802,2.5302568,1.0374,0.1762
BEN15-2,3.5,2004.94926225757,14.279836,11.970717833808,-30.2326369889982,2.59834945,0.97,0.167
BEN15-2,4,2002.1207918723,14.0137174,12.0474215814301,-30.2249132419792,2.6022023,1.1175,0.1791
BEN15-2,4.5,1999.25083158732,13.703397,12.1134626323808,-30.1883070457727,2.4800724,1.00643333333333,0.17
BEN15-2,5,1996.38087130235,13.4037078,12.2240012242507,-30.1225190052901,2.4646914,1.0277,0.1673
BEN15-2,6,1986.60074098914,12.9185295,12.3472494326978,-29.9515994958671,2.7555415,1.0217,0.1635
BEN15-2,7,1979.18169809553,12.9054469,12.3465849074564,-29.8527762653933,2.8564914,1.0548,0.1664
BEN15-2,8,1969.62338410971,13.3591701,12.6398955781366,-29.7015751557681,2.7962362,0.9907,0.1657
BEN15-2,9,1958.81792157789,13.852618,12.8978591365598,-29.64107115084,2.9966511,0.961633333333333,0.1703
BEN15-2,10,1947.38791603619,14.3861235,13.0462122689205,-29.4846775438869,3.1572934,0.7835,0.1394
BEN15-2,11,1933.87076103054,14.5339118,13.0144080776858,-29.4596483169673,3.0552292,0.7378,0.1308
BEN15-2,12,1918.57325443126,14.5938659,12.9764177182279,-29.3531449669375,3.1797839,0.6611,0.1263
BEN15-2,13,1903.26723035265,15.6672887,13.6459235089837,-29.0373532,2.79067761163464,0.6648,0.115
BEN15-2,14,1886.5773272173,14.7652316,13.0530661361479,-29.1819716886075,3.0175596,0.6972,0.135633333333333
BEN15-2,15,1874.42857927453,15.0285482,12.9159374000379,-29.2800536745787,2.9833528,0.5953,0.1155
BEN15-2,16,1858.80885120179,15.2907968,12.9750082457863,-29.3662463142823,3.0011951,NA,0.1505
BEN15-2,17,1843.18912312905,16.1070913,13.1075631113746,-29.4391407367096,3.0423911,0.4818,0.1081
BEN15-2,18,1834.7858799635,16.8282053,13.1598755222967,-29.4419645392267,3.0332975,0.4685,0.1096
BEN15-2,19,1826.38263679794,17.3365133,13.4040464017739,-29.4039578655922,3.16360505,0.5948,0.134633333333333
BEN15-2,20,1817.97939363238,17.5916187,13.4816428188464,-29.3950488613762,3.1831773,0.5979,0.1257
BEN15-2,21,1809.57615046682,17.3113059,13.5712190660695,-29.4224142723699,3.2224989,0.6531,0.1373
BEN15-2,22,1801.17290730127,17.1835888,13.4176051562817,-29.3694279496856,3.4085977,0.5826,0.1219
BEN15-2,23,1792.76966413571,16.4922319,13.4756838903292,-29.438955831553,3.3872888,0.6063,0.1308
BEN15-2,24,1784.36642097015,16.8081117,13.4260109340425,-29.4696278095072,3.4229948,0.6663,0.136066666666667
BEN15-2,25,1775.96317780459,16.7015797,13.4006778336443,-29.589611725083,3.4174469,0.5996,0.1195
BEN15-2,26,1767.55993463904,15.9030599,13.5030483422254,-29.5258041133151,3.5653774,0.5694,0.1159
BEN15-2,27,1759.15669147348,15.0694727,13.4061060678052,-29.4165063525216,3.5993003,0.6424,0.1181
BEN15-2,28,1750.75344830792,14.535988,13.5018452196453,-29.3190708140635,3.5992255,0.6822,0.119
BEN15-2,29,1742.35020514236,14.529308,13.3627739165728,-29.3010527987766,3.5382843,0.636233333333333,0.1162
FCL16-1,0,2016.45833333333,16.8659235,12.0586094779498,-26.93968325,2.84338957522011,0.499233333333333,0.143133333333333
FCL16-1,0.5,2014.6725849875,15.02617,13.7875983304954,-27.87344,2.17727363328398,0.5995,0.1861
FCL16-1,1,2012.88683664166,15.4953955,14.2471591457623,-27.6958205,1.82758566559108,0.5359,0.1685
FCL16-1,1.5,2010.58411644002,14.9204781,14.2785447145765,-27.889496,1.58694136960877,0.5403,0.1672
FCL16-1,2,2008.28139623837,14.9860755,14.6687666082373,-27.9627515,1.71959164326737,0.6104,0.1741
FCL16-1,2.5,2005.09016334369,15.5008134,15.404051311283,-27.871433,1.80125761757599,0.643725,0.1978
FCL16-1,3,2001.898930449,15.3592023,15.5361340085429,-28.009916,1.77414918590539,0.6521,0.2093
FCL16-1,3.5,1997.75302597975,15.1745487,16.1701875744264,-28.0209545,2.16605982455396,0.7617,0.2246
FCL16-1,4,1993.60712151051,15.80917,16.4644536071179,-28.034,2.37252029573244,0.8038,0.237
FCL16-1,4.5,1989.93109367342,15.4933079,16.4145481517393,-28.144385,2.64376035425749,0.8162,0.2477
FCL16-1,5,1986.25506583633,13.1076481,16.026210061473,-28.292903,2.77066604357978,0.906833333333333,0.2674
